cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
446,Mixed Attack Medium Deep,3,0,3,0,5.27200000000001,31.576666666666664,4.0,1
447,Mixed Attack Slow Build Mid,3,0,0,3,18.106999999999896,20.146666666666665,14.0,2
448,Mixed Attack Medium Short,3,0,0,3,5.4276666666666715,6.7,4.333333333333333,1
449,Mixed Attack Medium Deep,3,0,0,3,9.587666666666564,32.24666666666667,6.333333333333333,2
450,Mixed Attack Slow Build Deep,3,0,1,2,12.21200000000014,50.583333333333336,7.333333333333333,1
451,Mixed Attack Medium Mid,3,0,0,3,6.083333333333589,27.213333333333328,3.3333333333333335,2
452,Wing Attack Slow Build Short,3,0,0,3,13.980666666666593,12.799999999999997,8.333333333333334,3
453,Wing Attack Medium Short,3,0,0,3,8.119333333333392,12.536666666666667,5.666666666666667,3
454,Wing Attack Slow Build Deep,3,0,0,3,18.195666666666664,47.82666666666666,9.666666666666666,3
455,Mixed Attack Medium Short,3,0,0,3,5.016333333333364,18.77,5.0,2
456,Wing Attack Slow Build Short,3,0,0,3,12.624000000000004,16.906666666666666,8.333333333333334,3
457,Mixed Attack Slow Build Deep,3,0,0,3,11.677999999999997,67.09333333333335,7.666666666666667,2
458,Mixed Attack Medium Mid,3,0,0,3,6.795666666666705,20.7,6.0,1
459,Mixed Attack Medium Short,3,0,0,3,8.742333333333336,19.459999999999997,7.0,2
460,Wing Attack Slow Build Deep,3,0,0,3,26.81566666666701,38.64333333333334,15.333333333333334,3
461,Wing Attack Slow Build Deep,3,0,1,2,17.184333333333296,32.31666666666667,11.666666666666666,3
462,Mixed Attack Slow Build Deep,3,0,0,3,20.57666666666667,42.93333333333334,13.333333333333334,1
463,Wing Attack Medium Short,3,0,0,3,8.897666666666813,14.32,7.0,3
464,Mixed Attack Slow Build Short,3,0,0,3,23.812333333333328,6.796666666666667,13.666666666666666,2
465,Mixed Attack Medium Short,3,0,0,3,6.818000000000059,16.553333333333335,7.0,1
466,Mixed Attack Slow Build Short,3,0,0,3,16.527999999999718,10.980000000000002,13.333333333333334,1
467,Wing Attack Slow Build Deep,3,0,0,3,10.532666666666955,33.5,8.333333333333334,3
468,Wing Attack Slow Build Deep,3,0,0,3,24.858333333333274,46.86333333333334,19.333333333333332,3
469,Mixed Attack Slow Build Deep,3,0,1,2,25.692333333333256,34.42,13.333333333333334,2
470,Mixed Attack Fast Short,3,0,1,2,4.627000000000256,9.620000000000001,4.333333333333333,1
471,Mixed Attack Slow Build Deep,3,0,0,3,28.573333333333114,49.72666666666667,20.666666666666668,2
472,Mixed Attack Slow Build Deep,3,0,0,3,15.12633333333317,33.77333333333333,11.333333333333334,2
473,Wing Attack Medium Deep,3,0,0,3,7.818999999999808,34.690000000000005,7.666666666666667,3
474,Mixed Attack Medium Deep,3,0,0,3,9.676666666666657,42.07333333333333,7.333333333333333,2
475,Mixed Attack Slow Build Deep,3,0,1,2,22.967333333332892,40.13333333333333,14.0,1
476,Mixed Attack Slow Build Deep,3,0,0,3,16.850000000000097,38.79666666666667,11.0,1
477,Mixed Attack Medium Deep,3,0,2,1,6.395333333333355,42.31,4.0,2
478,Mixed Attack Fast Short,3,0,0,3,4.604333333333519,13.286666666666667,3.3333333333333335,2
479,Mixed Attack Medium Mid,3,0,0,3,7.007333333333388,22.19333333333333,5.666666666666667,2
480,Mixed Attack Slow Build Deep,3,0,1,2,10.733333333333121,36.43333333333333,9.0,1
481,Wing Attack Slow Build Deep,3,0,2,1,27.126999999999985,68.47666666666667,18.0,3
482,Mixed Attack Medium Mid,3,0,0,3,5.984000000000066,20.563333333333333,4.666666666666667,1
483,Mixed Attack Slow Build Short,3,0,0,3,22.53366666666625,11.410000000000002,13.333333333333334,2
484,Mixed Attack Slow Build Deep,3,0,0,3,23.91333333333346,36.17666666666667,14.666666666666666,2
485,Mixed Attack Slow Build Deep,3,0,1,2,14.959666666666806,31.596666666666664,8.666666666666666,2
486,Mixed Attack Medium Deep,3,0,0,3,8.13000000000026,39.61333333333334,5.333333333333333,2
487,Wing Attack Fast Mid,3,0,0,3,3.992666666666613,25.176666666666666,3.6666666666666665,3
488,Wing Attack Slow Build Deep High-Conv,3,1,2,1,27.861333333333334,67.25,16.0,3
489,Wing Attack Slow Build Deep,3,0,0,3,11.477999999999914,37.77333333333333,9.666666666666666,3
490,Wing Attack Slow Build Deep,3,0,0,3,14.90366666666705,61.80666666666667,8.666666666666666,3
491,Mixed Attack Medium Short,3,0,0,3,6.195333333333338,16.186666666666667,5.0,2
492,Mixed Attack Medium Mid,3,0,0,3,7.140666666666978,20.456666666666667,4.666666666666667,1
493,Mixed Attack Slow Build Deep,3,0,0,3,24.145999999999997,45.96,14.666666666666666,2
494,Mixed Attack Slow Build Short,3,0,0,3,10.800000000000068,16.900000000000002,8.0,2
495,Mixed Attack Slow Build Short,3,0,0,3,28.07233333333329,10.576666666666666,20.333333333333332,2
496,Mixed Attack Slow Build Deep,3,0,1,2,16.81666666666668,50.62,11.333333333333334,1
497,Mixed Attack Medium Mid,3,0,0,3,8.930999999999813,21.766666666666666,8.666666666666666,1
498,Mixed Attack Medium Deep,3,0,1,2,8.13033333333336,36.24,6.0,2
499,Mixed Attack Medium Mid,3,0,0,3,7.340666666666493,26.613333333333333,7.333333333333333,2
500,Mixed Attack Slow Build Deep High-Conv,3,2,3,0,13.202000000000035,74.32000000000001,9.333333333333334,2
501,Mixed Attack Slow Build Deep High-Conv,3,1,1,2,23.746000000000056,56.50666666666667,16.0,2
502,Mixed Attack Slow Build Short,3,0,0,3,27.12733333333343,12.61,19.0,2
503,Mixed Attack Medium Short,3,0,1,2,8.775666666666742,18.036666666666665,6.666666666666667,2
504,Mixed Attack Medium Deep,3,0,0,3,6.9513333333330065,38.870000000000005,5.666666666666667,2
505,Mixed Attack Slow Build Deep,3,0,0,3,13.313333333333466,45.06666666666666,8.0,1
506,Mixed Attack Slow Build Deep,3,0,1,2,26.059333333333427,36.173333333333325,20.333333333333332,1
507,Wing Attack Fast Deep,3,0,0,3,4.660333333333256,48.876666666666665,3.0,3
508,Mixed Attack Fast Short,3,0,0,3,3.9036666666667466,7.933333333333333,3.6666666666666665,1
509,Mixed Attack Slow Build Short,3,0,0,3,10.855666666666744,19.793333333333333,5.666666666666667,1
510,Central Attack Fast Mid,3,0,0,3,4.560333333333422,20.1,3.3333333333333335,0
511,Mixed Attack Fast Short,3,0,0,3,4.726999999999937,17.07,4.0,2
